market_date_sec,tradingDay,time,product,symbol,open,high,low,close,last,volume,oi,askPrice1,bidPrice1,askVolume1,bidVolume1,limitUp,limitDown,factor,UTC
2022-05-20 10:10:37,2022-05-20,2022-05-20 10:10:37.993,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21613,29117,3422.0,3420.0,1,2,3834.0,2834.0,1.0,2022-05-19 21:10:37
2022-05-20 10:10:41,2022-05-20,2022-05-20 10:10:41.080,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21613,29117,3422.0,3421.5,1,2,3834.0,2834.0,1.0,2022-05-19 21:10:41
2022-05-20 10:10:42,2022-05-20,2022-05-20 10:10:42.051,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21613,29117,3422.0,3421.5,1,3,3834.0,2834.0,1.0,2022-05-19 21:10:42
2022-05-20 10:10:44,2022-05-20,2022-05-20 10:10:44.184,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.0,21614,29116,3422.5,3421.5,2,3,3834.0,2834.0,1.0,2022-05-19 21:10:44
2022-05-20 10:10:46,2022-05-20,2022-05-20 10:10:46.573,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21616,29116,3423.0,3422.5,5,1,3834.0,2834.0,1.0,2022-05-19 21:10:46
2022-05-20 10:10:47,2022-05-20,2022-05-20 10:10:47.243,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3423.0,21617,29115,3423.0,3422.5,4,1,3834.0,2834.0,1.0,2022-05-19 21:10:47
2022-05-20 10:10:49,2022-05-20,2022-05-20 10:10:49.570,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21618,29115,3423.0,3421.5,4,2,3834.0,2834.0,1.0,2022-05-19 21:10:49
2022-05-20 10:10:54,2022-05-20,2022-05-20 10:10:54.149,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3422.5,21618,29115,3422.5,3421.5,1,2,3834.0,2834.0,1.0,2022-05-19 21:10:54
2022-05-20 10:10:56,2022-05-20,2022-05-20 10:10:56.414,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3421.5,21620,29115,3421.5,3420.0,2,1,3834.0,2834.0,1.0,2022-05-19 21:10:56
2022-05-20 10:10:59,2022-05-20,2022-05-20 10:10:59.726,J,Fut0_J2209,3334.0,3447.5,3315.5,0.0,3420.0,21624,29118,3422.0,3419.5,1,2,3834.0,2834.0,1.0,2022-05-19 21:10:59
